2026-04-12 22:17:55,651 | INFO | Thread-32 (process_youtube_trends) | [YouTube Trends] Поиск: query='крипта', max=50, lang=EN
2026-04-12 22:17:55,651 | INFO | Thread-32 (process_youtube_trends) | [YouTube Trends] Фильтры: duration=4-25min, subs=19000-964000
2026-04-12 22:17:55,651 | INFO | Thread-32 (process_youtube_trends) | [YouTube Trends] Запрос: site:youtube.com/watch крипта
2026-04-12 22:17:58,863 | INFO | Thread-32 (process_youtube_trends) | [YouTube Trends] Сырых результатов: 28
2026-04-12 22:18:01,258 | INFO | Thread-32 (process_youtube_trends) | [YouTube Trends] Пропущено (длительность): Как разобраться в крипте в 2026 году с нуля? С чег
2026-04-12 22:18:03,348 | INFO | Thread-32 (process_youtube_trends) | [YouTube Trends] Пропущено (длительность): Крипта в 2026: вывел все деньги и что делаю дальше
2026-04-12 22:18:05,264 | INFO | Thread-32 (process_youtube_trends) | [YouTube Trends] Пропущено (подписчики 444 вне диапазона): Крипта стала легальна в России! - YouTube
2026-04-12 22:18:07,019 | INFO | Thread-32 (process_youtube_trends) | [YouTube Trends] Пропущено (подписчики 393 вне диапазона): Крипта в 2026: начинается то, чего никто не ждёт -
2026-04-12 22:18:09,123 | INFO | Thread-32 (process_youtube_trends) | [YouTube Trends] Пропущено (подписчики 393 вне диапазона): Крипта: как заработать НИЧЕГО не понимая? - YouTub
2026-04-12 22:18:10,711 | INFO | Thread-32 (process_youtube_trends) | [YouTube Trends] Пропущено (подписчики 393 вне диапазона): Крипта: самый ПРОСТОЙ способ заработка для новичко
2026-04-12 22:18:12,461 | INFO | Thread-32 (process_youtube_trends) | [YouTube Trends] Пропущено (подписчики 34 вне диапазона): КРИПТА. Начало - обзор настольной игры от Geek Med
2026-04-12 22:18:14,274 | INFO | Thread-32 (process_youtube_trends) | [YouTube Trends] Пропущено (подписчики 110 вне диапазона): ГРИВНЯ чи КРИПТА: що краще для ЗАОЩАДЖЕНЬ? - YouTu
2026-04-12 22:18:16,279 | INFO | Thread-32 (process_youtube_trends) | [YouTube Trends] Пропущено (подписчики 13 вне диапазона): 🚨КРИПТА СТАВИТЬ ДНО? 🔴 ЧОМУ НАТОВП ЗНОВУ ПОМИЛЯЄТЬ
2026-04-12 22:18:18,110 | INFO | Thread-32 (process_youtube_trends) | [YouTube Trends] Пропущено (длительность): ФРС, доллар и крипта: что сейчас ломает рынок. Рек
2026-04-12 22:18:20,011 | INFO | Thread-32 (process_youtube_trends) | [YouTube Trends] Пропущено (длительность): КриптаI Яндекс про Директ 2.0 - YouTube
2026-04-12 22:18:22,320 | INFO | Thread-32 (process_youtube_trends) | [YouTube Trends] Пропущено (длительность): Цвет настроения красный...криптабыла для всех для.
2026-04-12 22:18:24,318 | INFO | Thread-32 (process_youtube_trends) | [YouTube Trends] Пропущено (длительность): Крипта: как на ней зарабатывают и теряют миллионы?
